Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
N,RO,12,1012.7228637413394,,24.52217741935484,23.575,24.048588709677418,2021
N,RR,1,1615.1146226415094,0.1136150234741784,29.58341232227488,27.7,28.641706161137442,2021
N,RR,2,,,,,,2021
N,RR,3,,,,,,2021
N,RR,4,,,,,,2021
N,RR,5,,,,,,2021
N,RR,6,,,,,,2021
N,RR,7,,,,,,2021
N,RR,8,,,,,,2021
N,RR,9,,,,,,2021
N,RR,10,,,,,,2021
N,RR,11,,,,,,2021
N,RR,12,,,,,,2021
N,TO,1,1426.602415132579,0.1910370107603169,27.08824316787507,25.70011154489682,26.394177356385946,2021
N,TO,2,1189.7575095576187,0.44693668290182004,25.61894875795032,24.532845313812555,25.07589703588144,2021
N,TO,3,1426.9355590606378,0.2239200102550955,26.679361799816345,25.38048668503214,26.029924242424244,2021
N,TO,4,1322.7848632218845,0.16810500905250453,26.853381458966563,25.551911876424413,26.20264666769549,2021
N,TO,5,1435.1711292456991,0.010688516570869513,26.885147774036664,25.350454036571712,26.117800905304186,2021
N,TO,6,1346.1474785033697,0.0051824431517715494,26.64108293351611,24.912035640849897,25.776559287183005,2021
N,TO,7,1422.6550991163124,5.6939501779359435e-05,26.555966514459666,24.64627092846271,25.601118721461187,2021
N,TO,8,1561.863107241063,0.008151177549005783,28.50348837209302,26.499132001310187,27.501310186701602,2021
N,TO,9,1539.724484629295,0.04865973741794311,29.898902332543344,28.003542472246476,28.95122240239491,2021
N,TO,10,1427.8178655462186,0.16513409961685824,28.212098276665113,26.72963782461861,27.47086805064186,2021
N,TO,11,1237.3301172909573,0.35746177370030585,26.217994182019673,25.041820196703142,25.629907189361408,2021
N,TO,12,1145.933887113951,0.551543111676742,25.947331678560346,24.907911883338503,25.427621780949423,2021
NE,AL,1,1494.9074772036472,0.08525937339496661,27.486161689730515,26.11580480699199,26.800983248361252,2021
NE,AL,2,1868.8504970178926,0.0008403361344537816,28.59726775956284,27.107019756200085,27.852143757881464,2021
NE,AL,3,1635.0602534562213,0.07124645892351274,28.15961672473868,26.732717770034842,27.44616724738676,2021
NE,AL,4,1333.48275,0.0753042233357194,27.283551931939027,26.04767812832329,26.665615030131157,2021
NE,AL,5,1180.0332896461337,0.18564940962761126,25.26335017489312,24.25452778857365,24.758938981733387,2021
NE,AL,6,1234.2953333333332,0.06993166287015945,24.27666826692271,23.30667306769083,23.791670667306768,2021
NE,AL,7,1366.8581846392551,0.07724425887265135,24.16842105263158,23.08872180451128,23.62857142857143,2021
NE,AL,8,1428.237529137529,0.09269282814614344,24.100187090739006,23.002104770813844,23.551145930776425,2021
NE,AL,9,1723.4027156549523,0.08861061419200954,25.847495183044316,24.687716763005778,25.26760597302505,2021
NE,AL,10,2041.1862862010223,0.02338152105593966,27.317064676616916,26.067014925373133,26.692039800995026,2021
NE,AL,11,2029.5360074626867,0.06116504854368932,28.35040474905559,27.095412844036698,27.722908796546143,2021
NE,AL,12,1840.160761904762,0.10456092579986385,27.86803628601921,26.73922091782284,27.303628601921027,2021
NE,BA,1,1601.6350424025518,0.09328013963346217,26.615289293849656,25.187913439635533,25.901601366742597,2021
NE,BA,2,1569.8125421506181,0.11451368826523593,26.466999892507793,25.126405460604108,25.796702676555952,2021
NE,BA,3,1828.3614108286433,0.03397717950630174,26.846548564447158,25.299811184539347,26.073179874493253,2021
NE,BA,4,1363.4697038255863,0.1555342949661466,25.930756698044895,24.666714940864107,25.2987358194545,2021
NE,BA,5,1315.7670944284034,0.05581433491881253,24.36357763975155,23.06773291925466,23.715655279503103,2021
NE,BA,6,1238.1097423312883,0.06790738313674094,23.907356022834023,22.593684514777078,23.250520268805552,2021
NE,BA,7,1218.5437172150691,0.10489196520437752,23.203509024232403,21.90104264039692,22.552275832314663,2021
NE,BA,8,1391.5895288635775,0.06192373363688104,23.133793420749942,21.738432635534085,22.436113028142014,2021
